School_ID,Legacy_Unit_ID,Finance_ID,Short_Name,Long_Name,School_Type,Primary_Category,Is_High_School,Is_Middle_School,Is_Elementary_School,Is_Pre_School,Summary,Administrator_Title,Administrator,Secondary_Contact_Title,Secondary_Contact,Address,City,State,Zip,Phone,Fax,CPS_School_Profile,Website,Facebook,Twitter,Youtube,Pinterest,Attendance_Boundaries,Grades_Offered_All,Grades_Offered,Student_Count_Total,Student_Count_Low_Income,Student_Count_Special_Ed,Student_Count_English_Learners,Student_Count_Black,Student_Count_Hispanic,Student_Count_White,Student_Count_Asian,Student_Count_Native_American,Student_Count_Other_Ethnicity,Student_Count_Asian_Pacific_Islander,Student_Count_Multi,Student_Count_Hawaiian_Pacific_Islander,Student_Count_Ethnicity_Not_Available,Statistics_Description,Demographic_Description,ADA_Accessible,Dress_Code,PreK_School_Day,Kindergarten_School_Day,School_Hours,Freshman_Start_End_Time,After_School_Hours,Earliest_Drop_Off_Time,Classroom_Languages,Bilingual_Services,Refugee_Services,Title_1_Eligible,PreSchool_Inclusive,Preschool_Instructional,Significantly_Modified,Hard_Of_Hearing,Visual_Impairments,Transportation_Bus,Transportation_El,Transportation_Metra,School_Latitude,School_Longitude,Average_ACT_School,Mean_ACT,College_Enrollment_Rate_School,College_Enrollment_Rate_Mean,Graduation_Rate_School,Graduation_Rate_Mean,Overall_Rating,Rating_Status,Rating_Statement,Classification_Description,School_Year,Third_Contact_Title,Third_Contact_Name,Fourth_Contact_Title,Fourth_Contact_Name,Fifth_Contact_Title,Fifth_Contact_Name,Sixth_Contact_Title,Sixth_Contact_Name,Seventh_Contact_Title,Seventh_Contact_Name,Location,School_Name_x,Graduates_2017,Enrollments_2017,Enrollment_Pct_2017,Num_Enrollments_Persisting_2017,Persistence_Pct_2017,School_Name_y,Num_Dropout_5yr_2017,Num_Grad_5yr_2017,Num_Students_Adjusted_2017,graduation_rates,dropout_rates,graduation_rates_imputed,dropout_rates_imputed,Persistence_Pct_2017_imputed,other_rates,enrollment_rates,persistence_rates,graduation_only,enrollment_only,check_total
610558,9598,46611,GOODE HS,Sarah E. Goode STEM Academy,Citywide-Option,HS,Y,N,N,N,"Sarah E. Goode STEM Academy is an Early College Science, Technology, Engineering, and Math School. Our doors opened during the 2012-2013 school year to 242 freshmen. Our mission is for our student ""innovators"" to earn both a high school diploma and significant college credits while mastering the Goode Life Habits. Through a unique collaboration that connects high school, college and career, Sarah E. Goode STEM Academy partners with IBM and Daley College to develop Innovators that will advance humanity. At Goode STEM Academy, our Innovators DO college. Innovators only take 4 classes each semester and have the opportunity to earn 8 credits above the graduation requirement. In addition, Innovators that meet our college requirements start to take courses at Daley College. Currently, 40% of our sophomores and juniors take classes at Daley College. Our course sequences are aligned to various Associate Degree pathways in Information Technology: computer science, web development, and networking.  In addition, Innovators have the opportunity to intern at various IT corporations throughout Chicago.",Principal,Armando Rodriguez,Assistant Principal,"Rufino Bustos, Jr.",7651 S HOMAN AVE,Chicago,Illinois,60652,7735357875,7735357877.0,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610558,http://GoodeSTEMAcademy.org,,http://twitter.com/GoodeSTEM,,,N,"9,10,11,12",9-12,900,788,153,57,459,420,7,2,5,0,0,6,1,0,There are 900 students enrolled at GOODE HS.  87.6% are Low Income Students.  17% are Diverse Learners.  6.3% are Limited English Learners.,The largest demographic at GOODE HS is Black.  This demographic makes up 51% of the student population.  The second greatest demographic is Hispanic at 46.7%.,Fully Accessible,Y,,,7:30  AM - 2:45  PM,,3:00pm - 5:00pm,7:00AM,Spanish,Y,N,Y,,,,,,"52, 79",,SouthWest Service (SWS),41.75375,-87.70734499999999,16.6,18.4,,57.9,,73.5,Level 1+,Good Standing,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .",Schools that have their own processes for enrollment.,School Year 2016-2017,,,,,,,,,,,"7651 S HOMAN AVE
Chicago, Illinois 60652
(41.75375, -87.707345)",GOODE HS,178.0,129.0,72.5,89.0,69.0,GOODE HS,13.0,211.0,229.0,0.9213973799126638,0.056768558951965066,0,0,0,0.02183406113537112,0.6680131004366813,0.4609290393013101,0.2533842794759825,0.2070840611353712,1.0
609750,1750,49051,SIMPSON HS,Simpson Academy HS for Young Women,Citywide-Option,HS,Y,Y,Y,N,``,Principal,Mrs.Sherita D Carter-King,Guidance Counselor,Veronica Falls,1321 S PAULINA ST,Chicago,Illinois,60608,7735347812,7735347819.0,http://cps.edu/Schools/Pages/school.aspx?SchoolID=609750,http://www.simpsonacademy.org/,http://www.facebook.com/SAYWHS,,,,N,"6,7,8,9,10,11,12",6-12,38,37,6,2,28,8,2,0,0,0,0,0,0,0,There are 38 students enrolled at SIMPSON HS.  97.4% are Low Income Students.  15.8% are Diverse Learners.  5.3% are Limited English Learners.,The largest demographic at SIMPSON HS is Black.  This demographic makes up 73.7% of the student population.  The second greatest demographic is Hispanic at 21.1%.,No/unknown accessibility,N,,,8:00  AM - 3:05  PM,,,7:30 AM,Spanish,,,Y,,,,,,,Pink,,41.864365,-87.668722,16.7,18.4,,57.9,21.4,73.5,Level 2,Provisional Support,"This school received a Level 2 rating, which is a low rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .",Schools that have their own processes for enrollment.,School Year 2016-2017,Office,Rita Somen,,,,,,,,,"1321 S PAULINA ST
Chicago, Illinois 60608
(41.864365, -87.668722)",SIMPSON HS,20.0,11.0,55.0,1.0,9.1,,,,,0.7414859701968631,0.22273537910669675,1,1,0,0.03577865069644015,0.40781728360827474,0.037111372808353,0.3336686865885884,0.37070591079992177,1.0
610571,9636,65015,OMBUDSMAN - WEST HS,Ombudsman Chicago- West,Citywide-Option,HS,Y,N,N,N, ,Principal,Mr. Igbazenda Tighil,,,2401 W CONGRESS PKWY,Chicago,Illinois,60612,3122431550,3122431562.0,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610571,http://www.ombudsmancps.com,https://www.facebook.com/ombudsmaneducation,https://twitter.com/ombudsmaned,http://www.youtube.com/OmbudsmanEducation,,N,"9,10,11,12",9-12,341,320,57,31,187,148,4,0,1,0,0,1,0,0,There are 341 students enrolled at OMBUDSMAN - WEST HS.  93.8% are Low Income Students.  16.7% are Diverse Learners.  9.1% are Limited English Learners.,The largest demographic at OMBUDSMAN - WEST HS is Black.  This demographic makes up 54.8% of the student population.  The second greatest demographic is Hispanic at 43.4%.,No/unknown accessibility,Y,,,7:30 AM - 4:00 PM,,,7:20 AM,Spanish,,N,Y,,,,,,"49, X49",Blue,,41.874673,-87.687842,14.4,18.4,7.4,57.9,,73.5,Level 2,Not Applicable,"This school received a Level 2 rating, which is a low rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .",Schools that have their own processes for enrollment.,School Year 2016-2017,,,,,,,,,,,"2401 W CONGRESS PKWY
Chicago, Illinois 60612
(41.874673, -87.687842)",OMBUDSMAN - WEST HS,59.0,11.0,18.6,3.0,27.3,,,,,0.81875,0.1625,1,1,0,0.018750000000000044,0.15228750000000002,0.04157448750000001,0.6664625,0.11071301250000001,1.0
609748,1730,49041,YORK HS,Consuella B York Alternative HS,Citywide-Option,HS,Y,N,N,N,a,Principal,Sharnette Sims,Assistant Principal,Mr. Shone T Johnson,2700 S CALIFORNIA AVE,Chicago,Illinois,60608,7735357021,7735357109.0,http://cps.edu/Schools/Pages/school.aspx?SchoolID=609748,http://yorkhs.org,,,,,N,"9,10,11,12",9-12,199,174,58,2,154,36,6,0,3,0,0,0,0,0,There are 199 students enrolled at YORK HS.  87.4% are Low Income Students.  29.1% are Diverse Learners.  1% are Limited English Learners.,The largest demographic at YORK HS is Black.  This demographic makes up 77.4% of the student population.  The second greatest demographic is Hispanic at 18.1%.,No/unknown accessibility,N,,,7:00 am - 4:00 pm,,,,,,,Y,,,,,,,,,41.842533,-87.695261,,18.4,5.1,57.9,1.7,73.5,Inability to Rate,Good Standing,This school did not have enough data for a 2015-2016 Performance Policy Rating.,Schools that have their own processes for enrollment.,School Year 2016-2017,Assistant Principal,Mr. James Jones,,,,,,,,,"2700 S CALIFORNIA AVE
Chicago, Illinois 60608
(41.842533, -87.695261)",YORK HS,32.0,1.0,3.1,,62.9,,,,,0.7855711422845691,0.1743486973947896,1,1,1,0.04008016032064132,0.024352705410821643,0.015317851703406812,0.7612184368737475,0.00903485370741483,1.0
610563,9623,46551,BACK OF THE YARDS HS,Back of the Yards IB HS,Neighborhood,HS,Y,N,N,N,"Back of the Yards College Preparatory High School is an International Baccalaureate World School located in the historic Back of the Yards community.  Application for admission to the school is required for all students who are interested in attending.    Freshmen and sophomore students engage in the Middle Years Program (MYP) and may select the appropriate IB path in their junior and senior years, including the International Baccalaureate Diploma Programme (DP) or the International Baccalaureate Career Programme (CP).  Students are offered a variety of experiences that integrate and expand international mindedness through their holistic and rigorous studies. In addition, students may elect to participate in Advanced Placement (AP) courses.     Back of the Yards College Prep offers students a wide variety of after school opportunities, including athletics and clubs. Students are highly encouraged to engage in any of the after school options as an integral part of their learning and high school experience.",Principal,Patricia Barrera Brekke,Assistant Principal,Sabrina L Walker,2111 W 47TH ST,Chicago,Illinois,60609,7735357320,7735356880.0,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610563,http://www.boycp.org,http://www.facebook.com/backoftheyardscollegepreparatoryhighschool,https://twitter.com/boycphs,,,N,"9,10,11,12",9-12,1059,1021,76,99,33,952,15,56,2,0,0,0,1,0,There are 1059 students enrolled at BACK OF THE YARDS HS.  96.4% are Low Income Students.  7.2% are Diverse Learners.  9.3% are Limited English Learners.,The largest demographic at BACK OF THE YARDS HS is Hispanic.  This demographic makes up 89.9% of the student population.  The second greatest demographic is Asian at 5.3%.,Fully Accessible,Y,,,8:00 AM - 3:12 PM,8:00 a.m. - 3:12 p.m.,3:15 PM - 7:00 PM,7:30 AM,"French, Spanish, Spanish for Heritage Speakers",Y,,Y,,,,,,"47, 48, 49",Orange,,41.808413,-87.677541,17.6,18.4,,57.9,,73.5,Level 1+,Good Standing,"This school received a Level 1+ rating, which is the highest rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2016-2017,Assistant Principal,Rebecca Bancroft,Counselor,Yenitza Zamora,Counselor,Sara Solger,Counselor,Juan Carlos Salinas,,,"2111 W 47TH ST
Chicago, Illinois 60609
(41.808413, -87.677541)",BACK OF THE YARDS HS,243.0,178.0,73.3,120.0,67.4,BACK OF THE YARDS HS,,,,0.8673469387755102,0.11224489795918367,1,1,0,0.020408163265306145,0.635765306122449,0.4285058163265306,0.2315816326530612,0.20725948979591835,1.0
400105,8027,66442,URBAN PREP - BRONZEVILLE HS,Urban Prep Academy for Young Men - Bronzeville,Charter,HS,Y,N,N,N,"The mission of Urban Prep is to provide a comprehensive, high-quality college preparatory education to young men that results in our graduates succeeding in college.Chicago’s first charter high school designed for young men, Urban Prep offers small class sizes, diverse athletic programs, clubs, positive role models, and a focus on college admission and success.",Director,Mr. Conrad Timbers-Ausar,Principal,Mr.  Ausar,521 E 35TH ST,Chicago,Illinois,60616,7736243444,7736243405.0,http://cps.edu/Schools/Pages/school.aspx?SchoolID=400105,http://www.urbanprep.org,https://www.facebook.com/UrbanPrepAcademies/,,,,N,"9,10,11,12",9-12,322,262,62,0,314,4,0,0,1,0,0,3,0,0,There are 322 students enrolled at URBAN PREP - BRONZEVILLE HS.  81.4% are Low Income Students.  19.3% are Diverse Learners.  0.0% are Limited English Learners.,The largest demographic at URBAN PREP - BRONZEVILLE HS is Black.  This demographic makes up 97.5% of the student population.  The second greatest demographic is Hispanic at 1.2%.,No/unknown accessibility,Y,,,8:30 AM-4:30 PM,8:30 a.m. - 4:30 p.m.,4:35PM - 6:30PM,7:45AM,"Mandarin, Spanish",N,N,Y,,,,,,"1, 4, 29","Green, Red",Rock Island District (RI),41.831118,-87.613629,16.6,18.4,75.0,57.9,82.4,73.5,Level 1,Not Applicable,"This school received a Level 1 rating, which is a high rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP). To learn more, visit:  http://cps.edu/sqrp .","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2016-2017,Assistant Principal,Mr. Bywater,,,,,,,,,"521 E 35TH ST
Chicago, Illinois 60616
(41.831118, -87.613629)",URBAN PREP - BRONZEVILLE HS,77.0,70.0,90.9,47.0,67.1,URBAN PREP - BRONZEVILLE HS,18.0,108.0,130.0,0.8307692307692308,0.13846153846153847,0,0,0,0.03076923076923066,0.7551692307692309,0.5067185538461539,0.07559999999999989,0.24845067692307699,1.0
610506,8080,49161,TEAM HS,TEAM Englewood Community Academy High School,Small,HS,Y,N,N,N,"TEAM Englewood Community Academy is a 21st Century school that Transforms, Empowers, Advocates and Motivates our students to enact positive change in Englewood, Chicago, and the world.",Principal,Ms.Michelle C Russell,Assistant Principal,Daena Adams,6201 S STEWART AVE,Chicago,Illinois,60621,7735353530,7735353586.0,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610506,http://www.teamenglewood.org,https://www.facebook.com/pages/team-englewood-community-academy/132165383491430,https://twitter.com/@TeamEnglewood,,,N,"9,10,11,12",9-12,94,87,19,0,93,1,0,0,0,0,0,0,0,0,There are 94 students enrolled at TEAM HS.  92.6% are Low Income Students.  20.2% are Diverse Learners.  0.0% are Limited English Learners.,The largest demographic at TEAM HS is Black.  This demographic makes up 98.9% of the student population.  The second greatest demographic is Hispanic at 1.1%.,Generally accessible,Y,,,8:00  AM - 3:13  PM,,,7:30 AM,Spanish,N,N,Y,,,,,,"24, 63","Green, Red",,41.781484999999996,-87.63301899999999,14.3,18.4,50.7,57.9,73.9,73.5,Level 2,Intensive Support,"This school received a Level 2 rating, which is a low rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .",These schools limit their student populations to 600. This provides a more intimate and personalized learning experience.,School Year 2016-2017,,,,,,,,,,,"6201 S STEWART AVE
Chicago, Illinois 60621
(41.781485, -87.633019)",TEAM HS,43.0,23.0,53.5,9.0,39.1,TEAM HS,20.0,63.0,83.0,0.7590361445783133,0.24096385542168675,0,0,0,0.0,0.4060843373493976,0.15877897590361445,0.35295180722891567,0.24730536144578313,1.0
400010,7950,66291,ACE TECH HS,ACE Technical Charter School,Charter,HS,Y,N,N,N,"ACE Tech aims to introduce students to architecture, construction and engineering (ACE) careers, preparing students to compete successfully in the local and global economies. ",Director,Cecilia Baader,Chief Operations Officer,John Ayers,5410 S STATE ST,Chicago,Illinois,60609,7735488705,7735488706.0,http://cps.edu/Schools/Pages/school.aspx?SchoolID=400010,http://www.acetechnical.org,https://www.facebook.com/pages/ACE-Technical-Charter-High-School/2030732831,https://twitter.com/ACETECHNICAL,https://www.youtube.com/channel/UCZE3LFvDhbN7oMxlKPeYayw,,N,"9,10,11,12",9-12,314,302,67,22,259,49,4,0,0,0,0,1,1,0,There are 314 students enrolled at ACE TECH HS.  96.2% are Low Income Students.  21.3% are Diverse Learners.  7% are Limited English Learners.,The largest demographic at ACE TECH HS is Black.  This demographic makes up 82.5% of the student population.  The second greatest demographic is Hispanic at 15.6%.,Generally accessible,Y,,,7:40 AM-3:22 PM,7:40 a.m. - 3:22 p.m.,,,Spanish,Y,N,Y,,,,,,"15, 29, 55","Brown, Purple, Red",,41.796122,-87.625849,15.2,18.4,56.3,57.9,68.8,73.5,Level 2,Not Applicable,"This school received a Level 2 rating, which is a low rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2016-2017,Interim Principal,Cecilia Baader,,,,,,,,,"5410 S STATE ST
Chicago, Illinois 60609
(41.796122, -87.625849)",ACE TECH HS,75.0,37.0,49.3,16.0,43.2,ACE TECH HS,28.0,86.0,127.0,0.6771653543307087,0.2204724409448819,0,0,0,0.10236220472440949,0.3338425196850394,0.14421996850393703,0.34332283464566926,0.18962255118110238,1.0
400119,9036,66641,LEGAL PREP HS,Legal Prep Charter Academy,Charter,HS,Y,N,N,N,"Legal Prep is Chicago’s first and only legal-themed high school, preparing students for college and life through the development of critical thinking, problem solving, advocacy and communication skills.  The mission of Legal Prep is to use its unique law themed curriculum and culture of high expectations to cultivate compassion, self-motivation, and reflection in young adults who will prepared to succeed at outstanding four-year colleges and universities.   Legal Prep strives to ensure that our students have a rounded and supportive high school experience in an enriching educational environment and that all students gain exposure to a variety of professional environments, colleges, and career paths. Our students will use their academy and civic education to grow in their professional careers, be advocates for disadvantaged communities, and positively impact our society. ",Director,Mr. Samuel Finkelstein,,,4319 W WASHINGTON BLVD,Chicago,Illinois,60624,7739227800,3123865796.0,http://cps.edu/Schools/Pages/school.aspx?SchoolID=400119,http://www.legalprep.org,https://www.facebook.com/legalprep,,,,N,"9,10,11,12",9-12,305,293,70,0,303,0,0,0,2,0,0,0,0,0,There are 305 students enrolled at LEGAL PREP HS.  96.1% are Low Income Students.  23% are Diverse Learners.  0.0% are Limited English Learners.,The largest demographic at LEGAL PREP HS is Black.  This demographic makes up 99.3% of the student population.  The second greatest demographic is NativeAmer. at 0.7%.,Fully Accessible,Y,,,8:00 AM-3:11 PM,,4:30 PM,7:30 AM,Spanish,N,N,Y,,,,,,20126,Green,,41.881733000000004,-87.733778,16.0,18.4,,57.9,,73.5,Level 2+,Not Applicable,"This school received a Level 2+ rating, which is the middle rating at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .","Schools that are open to all Chicago children, but operate independently from the Board and each other. Acceptance based on application and random lottery, if applicable.",School Year 2016-2017,,,,,,,,,,,"4319 W WASHINGTON BLVD
Chicago, Illinois 60624
(41.881733, -87.733778)",LEGAL PREP HS,35.0,24.0,68.6,12.0,50.0,LEGAL PREP HS,29.0,134.0,173.0,0.7745664739884393,0.1676300578034682,0,0,0,0.05780346820809257,0.5313526011560693,0.26567630057803465,0.24321387283236995,0.26567630057803465,1.0
610389,1830,28151,ORR HS,Orr Academy High School,Neighborhood,HS,Y,N,N,N,"As a Turnaround school, Orr is redefining its past reputation, with increased graduation rates, test scores and college scholarships for graduates.",Principal,Shanele E Andrews,Counselor,Tabitha Younan,730 N PULASKI RD,Chicago,Illinois,60624,7735346500,7735346504.0,http://cps.edu/Schools/Pages/school.aspx?SchoolID=610389,http://www.orracademy.org,https://www.facebook.com/orracademyhighschool,https://twitter.com/orracademy,,,Y,"9,10,11,12",9-12,276,263,58,14,228,47,1,0,0,0,0,0,0,0,There are 276 students enrolled at ORR HS.  95.3% are Low Income Students.  21% are Diverse Learners.  5.1% are Limited English Learners.,The largest demographic at ORR HS is Black.  This demographic makes up 82.6% of the student population.  The second greatest demographic is Hispanic at 17%.,Generally accessible,Y,,,"7:45am - 2:42pm (M,T,TH,F); 7:45am - 1:32pm (W)",,2:45pm - 5:00pm,7:30am,Spanish,Y,N,Y,,,,,,"53, 66",,,41.894449,-87.726166,14.2,18.4,45.3,57.9,39.0,73.5,Level 3,Intensive Support,"This school received a Level 3 rating, which is the lowest rating of academic performance at CPS. This rating is based on the CPS School Quality Rating Policy (SQRP).  To learn more, visit:  http://cps.edu/sqrp .","Schools that have an attendance boundary. Generally, all students who live within this area may attend the school. Acceptance based on student living in boundary area or application if out of boundary area.",School Year 2016-2017,Counselor,Shalina Hampton,Operations Manager/School Culture,Thomas Johnson,,,,,,,"730 N PULASKI RD
Chicago, Illinois 60624
(41.894449, -87.726166)",ORR HS,78.0,44.0,56.4,18.0,40.9,ORR HS,67.0,70.0,151.0,0.46357615894039733,0.44370860927152317,0,0,0,0.0927152317880795,0.2614569536423841,0.10693589403973508,0.20211920529801325,0.154521059602649,1.0
