School_ID,School_Name,Status as of 2019,Graduates_2018,Enrollments_2018,Enrollment_Pct_2018,Graduates_2017,Enrollments_2017,Enrollment_Pct_2017,Num_Enrollments_Persisting_2017,Persistence_Pct_2017,Graduates_2016,Enrollments_2016,Enrollment_Pct_2016,Num_Enrollments Persisting_2016,Persistence_Pct_2016,Graduates_2015,Enrollments_2015,Enrollment_Pct_2015,Num_Enrollments_Persisting_2015,Persistence_Pct_2015,Graduates_2014,Enrollments_2014,Enrollment_Pct_2014,Num_Enrollments_Persisting_2014,Persistence_Pct_2014,Graduates_2013,Enrollments_2013,Enrollment_Pct_2013,Num_Enrollments Persisting_2013,Persistence_Pct_2013,Graduates_2012,Enrollments_2012,Enrollment_Pct_2012,Num_Enrollments_Persisting_2012,Persistence_Pct_2012,Graduates_2011,Enrollments_2011,Enrollment_Pct_2011,Num_Enrollments_Persisting_2011,Persistence_Pct_2011,Graduates_2010,Enrollments_2010,Enrollment_Pct_2010,Num_Enrollments_Persisting_2010,Persistence_Pct_2010
400013,ASPIRA - EARLY COLLEGE HS,,83,49,59.0,93,50,53.8,32,64.0,103,57,55.3,37,64.9,78,23,29.5,13,56.5,112,45,40.2,33,73.3,49,35,71.4,22,62.9,87,46,52.9,28,60.9,113,57,50.4,36,63.2,,,,,
400022,CHIARTS HS,,146,117,80.1,126,96,76.2,80,83.3,112,90,80.4,79,87.8,113,90,79.6,80,88.9,130,108,83.1,89,82.4,129,92,71.3,78,84.8,,,,,,,,,,,,,,,
400032,CICS - ELLISON HS,,72,47,65.3,67,46,68.7,31,67.4,89,45,50.6,28,62.2,98,63,64.3,42,66.7,86,59,68.6,36,61.0,117,88,75.2,62,70.5,116,76,65.5,45,59.2,95,61,64.2,45,73.8,93,71,76.3,51,71.8
400033,CICS - LONGWOOD,,107,52,48.6,100,60,60,35,58.3,87,39,44.8,28,71.8,77,50,64.9,28,56.0,89,64,71.9,43,67.2,118,68,57.6,40,58.8,130,97,74.6,62,63.9,81,53,65.4,38,71.7,100,76,76.0,51,67.1
400034,CICS - NORTHTOWN HS,,178,145,81.5,190,152,80,116,76.3,176,132,75.0,101,76.5,167,128,76.6,108,84.4,192,153,79.7,122,79.7,161,120,74.5,91,75.8,173,129,74.6,104,80.6,203,135,66.5,100,74.1,174,125,71.8,103,82.4
400035,CHICAGO MATH & SCIENCE HS,,84,59,70.2,86,73,84.9,61,83.6,71,51,71.8,39,76.5,75,54,72.0,45,83.3,78,61,78.2,46,75.4,69,39,56.5,33,84.6,62,35,56.5,30,85.7,61,29,47.5,22,75.9,58,30,51.7,21,70.0
400036,CHICAGO VIRTUAL,,40,20,50.0,25,11,44,9,81.8,31,14,45.2,13,92.9,25,17,68.0,14,82.4,22,13,59.1,7,53.8,23,16,69.6,10,62.5,9,*,*,*,*,9,*,*,,,,,,,
400051,NOBLE - NOBLE HS,,133,115,86.5,142,131,92.3,104,79.4,138,121,87.7,92,76.0,144,122,84.7,74,60.7,126,111,88.1,84,75.7,134,113,84.3,74,65.5,124,96,77.4,77,80.2,117,98,83.8,66,67.3,106,72,67.9,54,75.0
400052,NOBLE - COMER,,140,121,86.4,135,119,88.1,97,81.5,143,128,89.5,95,74.2,139,117,84.2,86,73.5,127,111,87.4,89,80.2,124,108,87.1,79,73.1,101,96,95.0,81,84.4,,,,,,,,,,
400053,NOBLE - GOLDER HS,,133,121,91.0,139,121,87.1,90,74.4,132,107,81.1,78,72.9,128,103,80.5,73,70.9,128,97,75.8,71,73.2,118,92,78.0,65,70.7,103,82,79.6,61,74.4,92,71,77.2,52,73.2,,,,,
